Gene id	miRNA
29116	hsa-miR-425-5p
29116	hsa-miR-545-5p
29116	hsa-miR-494-3p
5689	hsa-miR-494-3p
5689	hsa-miR-503-5p
3720	hsa-miR-10a-5p
3720	hsa-miR-130b-3p
3720	hsa-miR-155-5p
3720	hsa-miR-15a-5p
3720	hsa-miR-15b-5p
3720	hsa-miR-16-5p
3720	hsa-miR-181a-5p
3720	hsa-miR-181c-5p
3720	hsa-miR-193a-3p
3720	hsa-miR-193b-3p
3720	hsa-miR-301a-3p
3720	hsa-miR-301b-3p
3720	hsa-miR-31-5p
3720	hsa-miR-425-5p
3720	hsa-miR-454-3p
3720	hsa-miR-497-5p
3720	hsa-miR-582-5p
65220	hsa-let-7b-5p
65220	hsa-miR-155-5p
65220	hsa-miR-16-5p
65220	hsa-miR-133a-3p
9265	hsa-miR-625-3p
6856	hsa-miR-101-3p
6856	hsa-miR-10a-3p
6856	hsa-miR-124-3p
6856	hsa-miR-130b-5p
6856	hsa-miR-181a-5p
6856	hsa-miR-181c-5p
6856	hsa-miR-30a-3p
6856	hsa-miR-30d-3p
6856	hsa-miR-30e-3p
6856	hsa-miR-338-5p
6856	hsa-miR-365a-3p
6856	hsa-miR-378a-3p
6856	hsa-miR-422a
6856	hsa-miR-424-5p
6856	hsa-miR-576-3p
6856	hsa-miR-1-3p
6856	hsa-miR-155-5p
6856	hsa-miR-494-3p
6856	hsa-miR-16-5p
6856	hsa-miR-142-3p
9043	hsa-miR-222-3p
9043	hsa-miR-584-5p
9043	hsa-miR-191-5p
9043	hsa-miR-155-5p
1951	hsa-miR-17-5p
1951	hsa-miR-20b-5p
1951	hsa-miR-374a-5p
1951	hsa-miR-374b-5p
1951	hsa-miR-423-5p
1951	hsa-miR-497-5p
1951	hsa-miR-93-5p
51188	hsa-miR-494-3p
4257	hsa-miR-1-3p
4257	hsa-miR-155-5p
4257	hsa-miR-16-5p
1407	hsa-miR-126-5p
1407	hsa-miR-202-5p
4784	hsa-miR-190a-5p
4784	hsa-miR-1-3p
6482	hsa-miR-199a-5p
6482	hsa-miR-1-3p
6482	hsa-miR-494-3p
9235	hsa-let-7b-5p
9235	hsa-miR-155-5p
9235	hsa-miR-16-5p
9862	hsa-miR-30a-5p
23221	hsa-miR-767-5p
54497	hsa-miR-24-3p
54497	hsa-miR-625-3p
7095	hsa-miR-202-5p
7095	hsa-miR-1-3p
7095	hsa-miR-16-5p
7812	hsa-miR-106a-5p
7812	hsa-miR-124-3p
7812	hsa-miR-151a-5p
7812	hsa-miR-15a-5p
7812	hsa-miR-15b-5p
7812	hsa-miR-16-5p
7812	hsa-miR-17-3p
7812	hsa-miR-199a-5p
7812	hsa-miR-335-3p
7812	hsa-miR-339-5p
7812	hsa-miR-497-5p
7812	hsa-miR-579-3p
7812	hsa-miR-133a-3p
7812	hsa-miR-132-3p
9690	hsa-miR-106a-5p
9690	hsa-miR-191-5p
9690	hsa-miR-33a-5p
9690	hsa-miR-33b-5p
9690	hsa-miR-548c-5p
9690	hsa-miR-548d-5p
9690	hsa-miR-576-5p
9690	hsa-miR-582-3p
9690	hsa-miR-767-5p
5980	hsa-let-7a-3p
5980	hsa-let-7b-3p
5980	hsa-let-7f-1-3p
5980	hsa-let-7f-2-3p
5980	hsa-let-7g-3p
5980	hsa-miR-106a-5p
5980	hsa-miR-106b-5p
5980	hsa-miR-149-5p
5980	hsa-miR-194-5p
5980	hsa-miR-20a-5p
5980	hsa-miR-32-5p
5980	hsa-miR-33a-5p
5980	hsa-miR-340-5p
5980	hsa-miR-576-5p
5980	hsa-miR-92a-3p
5980	hsa-miR-92b-3p
5980	hsa-miR-9-5p
5980	hsa-miR-16-5p
199870	hsa-miR-16-5p
51534	hsa-miR-335-3p
51534	hsa-miR-16-5p
9031	hsa-let-7g-3p
9031	hsa-miR-135b-3p
9031	hsa-miR-27a-5p
9031	hsa-miR-1-3p
10048	hsa-miR-590-3p
10048	hsa-miR-155-5p
83932	hsa-miR-486-5p
83932	hsa-miR-1-3p
83932	hsa-miR-155-5p
7756	hsa-miR-16-5p
7756	hsa-miR-224-5p
7756	hsa-miR-494-3p
7756	hsa-miR-503-5p
83930	hsa-let-7e-5p
83930	hsa-miR-19a-3p
83930	hsa-miR-19b-3p
83930	hsa-miR-484
83930	hsa-miR-550a-3p
83930	hsa-miR-1-3p
83930	hsa-miR-503-5p
83930	hsa-let-7b-5p
928	hsa-miR-126-5p
928	hsa-miR-23a-3p
928	hsa-miR-23b-3p
928	hsa-miR-330-3p
928	hsa-miR-338-5p
928	hsa-miR-374b-5p
928	hsa-miR-641
928	hsa-miR-876-5p
928	hsa-miR-191-5p
928	hsa-let-7b-5p
928	hsa-miR-155-5p
928	hsa-miR-16-5p
9918	hsa-miR-103a-3p
9918	hsa-miR-107
9918	hsa-miR-15b-5p
9918	hsa-miR-193b-5p
9918	hsa-miR-23a-5p
9918	hsa-miR-424-5p
9918	hsa-miR-501-3p
9918	hsa-miR-502-3p
9918	hsa-miR-579-3p
9918	hsa-miR-760
3423	hsa-miR-1-3p
7752	hsa-miR-30a-5p
7752	hsa-miR-30b-5p
7752	hsa-miR-30c-5p
7752	hsa-miR-30e-5p
7752	hsa-miR-326
7752	hsa-miR-421
7752	hsa-miR-1-3p
7752	hsa-miR-191-5p
695	hsa-let-7b-5p
695	hsa-miR-155-5p
3077	hsa-miR-21-5p
22955	hsa-miR-1-3p
22955	hsa-miR-122-5p
2534	hsa-miR-191-5p
3097	hsa-miR-155-5p
6924	hsa-miR-335-3p
11313	hsa-let-7f-5p
11313	hsa-let-7g-5p
11313	hsa-let-7i-5p
11313	hsa-miR-125a-5p
11313	hsa-miR-125b-5p
11313	hsa-miR-98-5p
11313	hsa-miR-191-5p
11313	hsa-miR-16-5p
9902	hsa-miR-1-3p
6534	hsa-miR-16-5p
10867	hsa-miR-1-3p
10867	hsa-let-7b-5p
10867	hsa-miR-16-5p
55727	hsa-let-7g-3p
55727	hsa-miR-132-3p
55727	hsa-miR-181a-5p
55727	hsa-miR-181c-5p
55727	hsa-miR-194-5p
55727	hsa-miR-199a-3p
55727	hsa-miR-200b-3p
55727	hsa-miR-200c-3p
55727	hsa-miR-26a-5p
55727	hsa-miR-26b-3p
55727	hsa-miR-26b-5p
55727	hsa-miR-28-5p
55727	hsa-miR-374b-3p
55727	hsa-miR-429
55727	hsa-miR-500a-3p
55727	hsa-miR-545-5p
55727	hsa-miR-625-5p
55727	hsa-miR-876-5p
9546	hsa-miR-124-3p
51099	hsa-miR-186-5p
51099	hsa-miR-128-3p
3730	hsa-let-7b-5p
3730	hsa-miR-16-5p
54799	hsa-let-7a-3p
54799	hsa-let-7f-1-3p
54799	hsa-miR-106a-5p
54799	hsa-miR-128-3p
54799	hsa-miR-141-3p
54799	hsa-miR-200a-3p
54799	hsa-miR-27a-3p
54799	hsa-miR-27b-3p
54799	hsa-miR-29a-3p
54799	hsa-miR-29b-3p
54799	hsa-miR-29c-3p
54799	hsa-miR-340-5p
54799	hsa-miR-425-5p
54799	hsa-miR-501-3p
54799	hsa-miR-502-3p
54799	hsa-miR-580-3p
51096	hsa-miR-192-3p
51096	hsa-miR-23a-3p
51096	hsa-miR-23b-3p
51096	hsa-miR-374a-3p
51096	hsa-miR-641
54476	hsa-let-7d-5p
54476	hsa-miR-651-5p
54476	hsa-miR-191-5p
54902	hsa-miR-361-5p
5725	hsa-miR-128-3p
5725	hsa-miR-32-5p
5725	hsa-miR-486-3p
5725	hsa-miR-505-3p
5725	hsa-miR-1-3p
5725	hsa-miR-124-3p
5725	hsa-miR-191-5p
5725	hsa-miR-133a-3p
5286	hsa-miR-190a-5p
5286	hsa-miR-22-3p
5286	hsa-miR-224-5p
5286	hsa-miR-24-2-5p
5286	hsa-miR-33b-5p
5286	hsa-miR-500a-5p
5286	hsa-miR-876-5p
5286	hsa-miR-1-3p
5286	hsa-miR-155-5p
5286	hsa-miR-16-5p
5329	hsa-miR-193a-3p
5329	hsa-miR-103a-3p
5329	hsa-miR-124-3p
5329	hsa-miR-155-5p
5329	hsa-miR-494-3p
54443	hsa-miR-15a-5p
54443	hsa-miR-15b-5p
54443	hsa-miR-16-5p
54443	hsa-miR-19b-1-5p
54443	hsa-miR-26b-3p
54443	hsa-miR-29b-1-5p
54443	hsa-miR-30a-5p
54443	hsa-miR-30b-5p
54443	hsa-miR-30c-5p
54443	hsa-miR-30e-5p
54443	hsa-miR-331-3p
54443	hsa-miR-335-3p
54443	hsa-miR-340-5p
54443	hsa-miR-342-3p
54443	hsa-miR-374a-5p
54443	hsa-miR-374b-3p
54443	hsa-miR-503-5p
54443	hsa-miR-548c-5p
54443	hsa-miR-548d-5p
54443	hsa-miR-629-5p
54443	hsa-miR-767-5p
54443	hsa-miR-942-5p
54443	hsa-let-7b-5p
54443	hsa-miR-155-5p
54443	hsa-miR-142-3p
58525	hsa-miR-1-3p
58525	hsa-miR-603
2844	hsa-miR-1-3p
54814	hsa-miR-1-3p
5536	hsa-miR-155-5p
23177	hsa-let-7a-5p
23177	hsa-miR-1-3p
8491	hsa-miR-182-5p
8491	hsa-miR-338-3p
8491	hsa-miR-338-5p
8491	hsa-miR-1-3p
57146	hsa-let-7b-5p
57146	hsa-miR-16-5p
672	hsa-miR-218-5p
672	hsa-miR-26a-1-3p
672	hsa-miR-26a-2-3p
672	hsa-miR-1-3p
2067	hsa-miR-503-5p
51360	hsa-miR-30a-5p
51360	hsa-miR-30b-5p
51360	hsa-miR-30c-5p
51360	hsa-miR-30d-5p
51360	hsa-miR-30e-5p
51360	hsa-miR-767-5p
51360	hsa-miR-1-3p
4007	hsa-let-7b-5p
4007	hsa-miR-155-5p
4007	hsa-miR-16-5p
60481	hsa-miR-125a-5p
60481	hsa-miR-125b-5p
60481	hsa-miR-151a-3p
60481	hsa-miR-181a-2-3p
60481	hsa-miR-192-3p
60481	hsa-miR-218-5p
60481	hsa-miR-23a-3p
60481	hsa-miR-23b-3p
60481	hsa-miR-27a-3p
60481	hsa-miR-27b-3p
60481	hsa-miR-338-5p
60481	hsa-miR-33b-3p
60481	hsa-miR-548c-5p
60481	hsa-miR-548d-5p
57658	hsa-let-7b-5p
57658	hsa-miR-16-5p
55148	hsa-miR-328-3p
55148	hsa-miR-760
55148	hsa-miR-1-3p
55148	hsa-miR-494-3p
11183	hsa-miR-203a-3p
11183	hsa-miR-429
5704	hsa-miR-494-3p
51629	hsa-miR-1-3p
51629	hsa-miR-124-3p
51629	hsa-miR-494-3p
51629	hsa-let-7b-5p
51629	hsa-miR-155-5p
9961	hsa-let-7b-5p
9961	hsa-miR-155-5p
5238	hsa-miR-550a-3p
5238	hsa-miR-503-5p
1195	hsa-miR-494-3p
1195	hsa-miR-16-5p
23357	hsa-miR-331-3p
9604	hsa-miR-128-3p
50865	hsa-miR-1-3p
9052	hsa-let-7e-5p
9052	hsa-let-7g-3p
9052	hsa-miR-130b-3p
9052	hsa-miR-18a-5p
9052	hsa-miR-18b-5p
9052	hsa-miR-216b-5p
9052	hsa-miR-27a-5p
9052	hsa-miR-301a-3p
9052	hsa-miR-301b-3p
9052	hsa-miR-30b-3p
9052	hsa-miR-362-3p
9052	hsa-miR-425-5p
9052	hsa-miR-455-5p
9052	hsa-miR-500a-3p
9052	hsa-miR-542-3p
9052	hsa-miR-548d-3p
9052	hsa-miR-582-5p
9052	hsa-miR-603
9052	hsa-miR-7-5p
9052	hsa-miR-769-5p
9052	hsa-miR-92a-1-5p
9052	hsa-miR-940
9052	hsa-miR-124-3p
9052	hsa-miR-503-5p
9052	hsa-let-7b-5p
10046	hsa-miR-16-5p
10460	hsa-let-7b-5p
23376	hsa-miR-1-3p
23376	hsa-miR-155-5p
23649	hsa-miR-1-3p
823	hsa-miR-615-3p
823	hsa-miR-1-3p
823	hsa-miR-124-3p
4190	hsa-miR-615-3p
10463	hsa-let-7f-2-3p
10463	hsa-miR-625-3p
10463	hsa-miR-1-3p
10463	hsa-miR-142-3p
1355	hsa-miR-30a-5p
1355	hsa-miR-30b-5p
1355	hsa-miR-30c-5p
1355	hsa-miR-30d-5p
1355	hsa-miR-30e-5p
1355	hsa-miR-1-3p
440193	hsa-miR-16-5p
10138	hsa-miR-203a-3p
10138	hsa-miR-30a-5p
10138	hsa-miR-30b-5p
10138	hsa-miR-30c-5p
10138	hsa-miR-30d-5p
10138	hsa-miR-30e-5p
10138	hsa-miR-16-5p
10771	hsa-miR-19a-3p
10771	hsa-miR-19b-3p
10771	hsa-miR-29b-1-5p
10771	hsa-miR-1-3p
10771	hsa-miR-155-5p
10771	hsa-miR-132-3p
637	hsa-let-7a-5p
637	hsa-miR-1-3p
637	hsa-miR-124-3p
9782	hsa-miR-101-5p
9782	hsa-miR-105-5p
9782	hsa-miR-141-3p
9782	hsa-miR-200a-3p
9782	hsa-miR-26a-5p
9782	hsa-miR-26b-5p
9782	hsa-miR-93-3p
9782	hsa-miR-9-5p
9782	hsa-miR-1-3p
84220	hsa-let-7b-5p
84220	hsa-miR-16-5p
23386	hsa-miR-21-3p
3670	hsa-miR-15a-3p
3670	hsa-let-7b-5p
3670	hsa-miR-1-3p
3670	hsa-miR-155-5p
55830	hsa-miR-124-3p
27032	hsa-let-7a-5p
27032	hsa-miR-130b-3p
27032	hsa-miR-301a-3p
27032	hsa-miR-301b-3p
27032	hsa-miR-454-3p
27032	hsa-miR-1-3p
3479	hsa-miR-155-5p
10928	hsa-miR-494-3p
10928	hsa-miR-148b-3p
22902	hsa-let-7a-5p
22902	hsa-let-7b-5p
22902	hsa-let-7c-5p
22902	hsa-let-7d-5p
22902	hsa-let-7f-5p
22902	hsa-let-7g-5p
22902	hsa-let-7i-5p
22902	hsa-miR-196a-5p
22902	hsa-miR-196b-5p
22902	hsa-miR-98-5p
25937	hsa-miR-335-3p
25937	hsa-miR-452-5p
25937	hsa-miR-455-5p
25937	hsa-miR-550a-5p
25937	hsa-miR-877-5p
8540	hsa-miR-128-3p
8540	hsa-miR-26a-1-3p
8540	hsa-miR-26a-2-3p
8540	hsa-miR-641
8540	hsa-miR-1-3p
63932	hsa-miR-122-5p
55622	hsa-miR-423-5p
55622	hsa-miR-582-3p
1591	hsa-miR-27a-3p
1591	hsa-miR-27b-3p
1591	hsa-let-7b-5p
1591	hsa-miR-155-5p
1591	hsa-miR-16-5p
56981	hsa-miR-29a-3p
56981	hsa-miR-29b-3p
56981	hsa-miR-29c-3p
6591	hsa-miR-1-3p
6591	hsa-miR-148b-3p
6591	hsa-miR-124-3p
54764	hsa-miR-217
54764	hsa-miR-26a-1-3p
54764	hsa-miR-26a-2-3p
54764	hsa-miR-424-3p
54764	hsa-miR-494-3p
54764	hsa-miR-503-5p
54764	hsa-miR-1-3p
23154	hsa-let-7b-5p
23154	hsa-miR-16-5p
23154	hsa-miR-122-5p
25960	hsa-miR-133a-3p
25960	hsa-miR-9-5p
55734	hsa-miR-155-5p
4331	hsa-miR-1-3p
23034	hsa-miR-21-5p
23034	hsa-miR-33b-5p
23034	hsa-miR-590-5p
23034	hsa-miR-16-5p
23034	hsa-miR-124-3p
1992	hsa-miR-1-3p
6683	hsa-miR-186-5p
6683	hsa-miR-7-5p
6683	hsa-miR-940
6683	hsa-miR-132-3p
9369	hsa-miR-130b-5p
9369	hsa-miR-16-1-3p
9369	hsa-miR-204-5p
9369	hsa-miR-25-3p
9369	hsa-miR-29a-5p
9369	hsa-miR-548d-3p
9369	hsa-miR-628-5p
9369	hsa-miR-651-5p
9369	hsa-miR-873-5p
9369	hsa-miR-92a-3p
9369	hsa-miR-92b-3p
9369	hsa-miR-9-3p
9716	hsa-miR-148b-5p
9716	hsa-miR-7-1-3p
9716	hsa-miR-1-3p
1373	hsa-let-7a-5p
