geneID	HeLa
100294362	2.236117877
1003	0.094601283
100302118	0.32905068
100302119	0.408801787
100302128	0.195096925
100302129	0.584542799
100302132	1.288086548
100302133	3.203991581
100302135	0.295222731
100302137	3.998819278
100302138	7.858045426
100302143	4.007300293
100302145	0.197777968
100302149	2.114508491
100302150	0.283568141
100302152	1.046655802
100302156	3.718448198
100302158	1.060744707
100302160	0.981676175
100302168	0.227483568
100302170	1.011539824
100302174	2.249478601
100302182	3.371095385
100302183	7.468197478
100302185	3.624496936
100302190	0.469135541
100302196	0.307880175
100302197	5.123202104
100302201	1.401849517
100302210	4.740254618
100302213	8.241801102
100302218	0.777082933
100302221	1.504608009
100302223	0.209283231
100302224	3.699277169
100302226	0.78430359
100302232	3.251853434
100302237	4.625446982
100302240	5.332934522
100302242	0.83481582
100302243	0.332866707
100302254	10.37349047
100302256	1.291609863
100302257	0.48506709
100302258	1.991362792
100302260	0.447123226
100302263	1.321172544
100302273	2.467833548
100302274	4.162557255
100302275	0.550615456
100302280	2.239471142
100302283	3.232929777
100302285	4.164013349
100302401	0.707054085
100302640	0.179580111
100302650	1.463915649
100302652	3.018556602
100302691	0.025178754
100302692	0.797341281
100302736	4.079429405
100302739	7.292794871
100302740	0.036633534
100302741	0.247019431
100302742	0.457862754
100302743	0.911946919
100303453	1.638309121
100303728	5.152780716
100303749	0.03700979
100303755	3.778629503
100306951	4.127946737
100306975	0.095814465
100310812	0.098336672
100313769	0.366926043
100313837	5.422607218
100313841	0.26282457
100313843	7.810501071
100313886	1.806455412
100313887	4.518304905
100313892	4.6269126
100313896	0.502130022
100313921	0.295222731
100316868	0.186167867
100316904	0.838219551
100329109	2.747389253
100335030	0.265709231
100337591	0.199146358
10036	5.070941255
100379132	0.189947453
100379220	0.292716092
100379224	1.693978384
100379249	1.643278546
100379251	1.715632814
100379345	0.931172824
100379571	2.401077335
100379661	0.437055346
10038	4.682221231
100381270	2.885374797
10039	2.482644953
1004	0.681526782
10040	4.428786823
10042	3.282312872
100422737	0.020636646
100422824	0.381577833
100422832	0.838979814
100422833	0.769997127
100422842	3.112306747
100422845	0.791663078
100422846	1.548943915
100422859	0.32905068
100422860	4.096374615
100422866	0.666958318
100422872	0.304614767
100422875	0.603147714
100422877	0.325321522
100422879	0.922000608
100422885	0.956320763
100422894	7.38734371
100422899	0.806815283
100422904	1.493952256
100422910	0.736461938
100422913	0.810696783
100422914	2.583913018
100422922	0.332866707
100422926	0.340771857
100422928	0.336772688
100422929	0.427098387
100422936	2.218887803
100422943	0.349063491
100422945	2.133192771
100422947	0.349063491
100422948	0.990441189
100422952	2.86060264
100422961	1.401849517
100422965	0.78430359
100422971	0.336772688
100422974	0.307880175
100422976	0.699955436
100422977	0.265249544
100422978	0.37168263
100422979	0.35336325
100422985	0.265249544
100422987	0.318112167
100422991	2.570342983
100422993	0.340771857
100422997	0.763042346
100422999	0.366926043
100423000	1.027192577
100423001	0.314626469
100423002	0.340771857
100423003	1.221672858
100423004	0.629908699
100423011	0.791663078
100423012	1.781106219
100423020	1.946599744
100423031	4.107338029
100423037	3.794690531
100423039	0.340771857
100423041	0.540174915
10043	3.501772071
10044	0.053208682
10045	3.206112796
10046	2.498733639
100462977	0.141176541
100462981	1.083188894
100462983	0.081059771
100463482	0.040750523
100463486	0.81477763
100463487	0.541029636
10048	4.120009438
10049	3.121822664
100499177	3.874885708
100499183	0.028743696
100499194	0.04895062
100499227	0.830147677
100499405	0.571048261
100499466	1.629530951
100499467	1.809647127
100499483	0.518666194
100499484	1.257586505
100499489	0.610214628
1005	0.24993302
100500802	2.544605894
100500804	4.486062534
100500805	1.919294332
100500807	1.279367187
100500808	8.286978077
100500809	0.48506709
100500810	3.873710515
100500811	0.956320763
100500812	1.221672858
100500819	0.584542799
100500820	8.56598982
100500824	1.584122976
100500827	5.420345528
100500828	0.78430359
100500832	7.270878542
100500833	3.015198066
100500837	7.774160598
100500840	6.606405398
100500842	9.456718371
100500846	0.32905068
100500847	5.628290093
100500849	4.530342382
100500850	0.964620343
100500851	0.280797316
100500853	4.676861653
100500857	0.461559153
100500860	4.452255757
100500861	2.26489655
100500863	1.40492773
100500865	3.719313585
100500872	5.102882948
100500873	1.61083261
100500880	0.880779882
100500888	7.126212887
100500889	0.423935249
100500900	0.289277704
100500904	0.632248088
100500905	9.019259972
100500908	0.545344626
100500911	0.636980236
100500912	0.37168263
100500914	3.84929304
100500918	2.38364564
100500938	0.035593204
100505385	3.874558582
100505471	0.027963015
100505473	0.153223821
100505475	1.664849617
100505478	0.038907975
100505481	1.88189229
100505483	0.265555825
100505484	3.230331183
100505485	0.236070905
100505487	2.855143025
100505488	2.076334491
100505490	1.182497102
100505491	0.433569497
100505492	5.756843741
100505494	2.547018875
100505495	0.008279401
100505500	0.043355294
100505501	0.713704984
100505503	0.834162227
100505504	1.757828009
100505505	0.383278788
100505507	5.969589695
100505516	0.592151565
100505518	0.021307784
100505519	0.731616519
100505528	0.998219446
100505531	0.919746701
100505533	0.028051448
100505534	0.030977902
100505538	0.601153832
100505547	0.035159093
100505549	0.845172025
100505551	0.120769296
100505554	1.350603047
100505555	0.049285395
100505562	0.384650575
100505564	2.520387611
100505565	0.091480347
100505568	0.166352209
100505573	2.700981327
100505576	0.068617874
100505577	5.877709323
100505584	0.147219486
100505588	0.091098226
100505592	0.44887774
100505601	0.082866008
100505605	1.526424616
100505606	0.680119705
100505607	0.332384849
100505616	3.168001874
100505620	1.079495631
100505622	0.041483555
100505623	2.60779939
100505624	4.822769381
100505630	0.071551503
100505633	3.884259474
100505634	1.765168104
100505635	0.007268998
100505636	0.524903431
100505637	0.577757594
100505641	5.032416719
100505644	3.838462694
100505648	1.553864438
100505657	0.041723728
100505658	0.023091341
100505661	0.540528261
100505664	0.190198452
100505666	1.647108119
100505668	0.360190197
100505669	0.005457933
100505672	3.684631381
100505675	0.361909289
100505676	0.045475562
100505678	1.154504461
100505681	4.401552217
100505683	0.359564932
100505686	2.57099368
100505687	1.345802667
100505688	0.043290185
100505692	0.97624869
100505695	0.029209688
100505702	0.182954406
100505703	0.189411824
100505705	0.800957095
100505710	0.156626318
100505716	0.053641882
100505718	0.024155515
100505719	4.166784576
100505722	0.016078729
100505725	3.999745953
100505727	0.079604502
100505729	0.52104494
100505730	0.879789744
100505734	0.782408214
100505736	0.012711208
100505737	3.914431835
100505738	2.776494793
100505739	0.029844732
100505741	0.278465196
100505743	1.292613469
100505746	0.047362176
100505758	4.635479956
100505760	0.022772132
100505761	1.546182428
100505763	0.630375169
100505767	0.02696894
100505769	0.139190952
100505771	2.446359572
100505773	0.760437834
100505783	0.439626196
100505785	0.090333371
100505792	4.009513297
100505793	5.728875325
100505794	0.370242685
100505795	0.014611808
100505799	0.013579394
100505806	0.03823706
100505812	1.232513846
100505813	0.027378753
100505815	1.594187752
100505817	0.140061087
100505825	0.348004931
100505826	0.117417878
100505828	0.147470733
100505829	11.99342345
100505834	0.011987107
100505844	0.018793542
100505854	2.848572615
100505856	0.26282457
100505861	0.026400877
100505863	0.128159914
100505869	0.380943883
100505870	0.445921249
100505873	2.478795342
100505876	3.859714126
100505877	0.056646209
100505878	0.013702024
100505880	0.565813017
100505881	0.027600104
100505882	0.325783018
100505889	3.049518665
100505894	1.81893461
100505899	1.910599514
100505904	0.061742315
100505905	2.191250627
100505906	0.0490061
100505908	0.064941795
100505911	0.946451715
100505912	0.031751281
100505918	0.011757335
100505921	0.334028912
100505928	0.076285992
100505932	0.637602785
