Mature miRNA ID	HELA_average
hsa-miR-625-5p	2.715161224
hsa-miR-659-5p	2.715161224
hsa-miR-188-5p	2.710270728
hsa-miR-1277-5p	2.707819249
hsa-miR-22-5p	2.697971463
hsa-miR-6847-5p	2.693022247
hsa-miR-92a-1-5p	2.693022247
hsa-miR-10a-3p	2.690541257
hsa-miR-561-5p	2.690541257
hsa-miR-7976	2.688055994
hsa-miR-548e-5p	2.67305383
hsa-miR-4768-5p	2.665493839
hsa-miR-365a-5p	2.660431746
hsa-miR-7705	2.637429921
hsa-miR-4652-5p	2.614055412
hsa-miR-3605-5p	2.598259323
hsa-miR-3163	2.574236094
hsa-miR-450a-5p	2.555270816
hsa-miR-6772-3p	2.549806055
hsa-miR-652-5p	2.485426827
hsa-miR-3944-3p	2.485426827
hsa-miR-375	2.473931188
hsa-miR-7-1-3p	2.45359074
hsa-miR-378a-5p	2.424026283
hsa-miR-1538	2.372333048
hsa-miR-210-5p	2.366127899
hsa-miR-1343-3p	2.353636955
hsa-miR-1255a	2.350497247
hsa-miR-4286	2.344197259
hsa-miR-3177-3p	2.337869639
hsa-miR-3909	2.334695391
hsa-miR-342-5p	2.321928095
hsa-miR-6842-3p	2.286224033
hsa-miR-3188	2.286224033
hsa-miR-105-3p	2.279636373
hsa-miR-31-3p	2.269698136
hsa-let-7i-3p	2.259690963
hsa-miR-548u	2.256339753
hsa-miR-1914-5p	2.239465935
hsa-miR-139-3p	2.212050477
hsa-miR-331-5p	2.208586622
hsa-miR-580-3p	2.191141487
hsa-miR-3065-5p	2.177031888
hsa-miR-501-5p	2.162782932
hsa-miR-1266-5p	2.15560533
hsa-miR-4786-5p	2.14839184
hsa-miR-7703	2.126532406
hsa-miR-3074-3p	2.119171701
hsa-miR-455-5p	2.04342228
hsa-miR-6753-3p	2.019899557
hsa-miR-185-3p	1.979822118
hsa-miR-3934-5p	1.979822118
hsa-miR-1273h-3p	1.979822118
hsa-miR-6837-3p	1.946938756
hsa-miR-589-3p	1.938599455
hsa-miR-2277-5p	1.921774833
hsa-let-7c-3p	1.913288367
hsa-miR-6087	1.90902634
hsa-miR-3187-3p	1.874469118
hsa-miR-1262	1.874469118
hsa-miR-4758-3p	1.843537258
hsa-miR-301a-5p	1.816485934
hsa-miR-326	1.811927652
hsa-miR-4645-3p	1.811927652
hsa-miR-664a-3p	1.779609932
hsa-miR-4511	1.756074417
hsa-miR-1249-3p	1.746551643
hsa-miR-3679-5p	1.678071905
hsa-miR-6840-5p	1.66801824
hsa-miR-629-3p	1.657894023
hsa-miR-744-3p	1.632268215
hsa-miR-219b-3p	1.61667136
hsa-miR-33b-3p	1.606178987
hsa-miR-1226-3p	1.606178987
hsa-miR-4515	1.606178987
hsa-miR-378f	1.579609266
hsa-miR-503-5p	1.557995453
hsa-miR-199b-5p	1.552541023
hsa-miR-550a-3p	1.541569905
hsa-miR-636	1.5360529
hsa-miR-3912-3p	1.502500341
hsa-miR-548n	1.479690458
hsa-miR-935	1.479690458
hsa-miR-4510	1.473931188
hsa-miR-769-3p	1.432959407
hsa-miR-1306-3p	1.42103624
hsa-miR-3620-3p	1.38466385
hsa-miR-188-3p	1.378511623
hsa-miR-3911	1.366127899
hsa-miR-4512	1.341036918
hsa-miR-3613-5p	1.334695391
hsa-miR-619-5p	1.309046804
hsa-miR-664a-5p	1.309046804
hsa-miR-4660	1.309046804
hsa-miR-6720-3p	1.30256277
hsa-miR-1268b	1.269698136
hsa-miR-5699-3p	1.256339753
hsa-miR-449a	1.24961389
hsa-miR-132-5p	1.236067358
hsa-miR-152-3p	1.229246092
hsa-miR-1269a	1.222392421
hsa-miR-1273d	1.215506036
hsa-let-7e-3p	1.194647431
hsa-miR-6732-3p	1.180572246
hsa-miR-155-5p	1.173482821
hsa-miR-6514-5p	1.166358386
hsa-miR-29b-1-5p	1.166358386
hsa-miR-3935	1.166358386
hsa-miR-4427	1.166358386
hsa-miR-32-3p	1.159198595
hsa-miR-1268a	1.144771524
hsa-miR-3940-3p	1.130198723
hsa-miR-1292-5p	1.122856748
hsa-miR-4479	1.085575732
hsa-miR-6866-5p	1.070389328
hsa-miR-193a-3p	1.062735755
hsa-miR-579-5p	1.062735755
hsa-miR-1293	1.055041364
hsa-miR-1299	1.047305715
hsa-miR-3159	1.047305715
hsa-miR-500a-5p	1.047305715
hsa-miR-197-5p	1.015941544
hsa-miR-19a-5p	1
hsa-miR-200b-3p	0.991962681
hsa-miR-3942-5p	0.983880335
hsa-miR-150-5p	0.975752454
hsa-miR-6773-5p	0.975752454
hsa-miR-943	0.934411658
hsa-miR-576-3p	0.925999419
hsa-miR-5696	0.925999419
hsa-miR-4767	0.91753784
hsa-miR-6875-5p	0.90902634
hsa-miR-3175	0.90902634
hsa-miR-6716-3p	0.839063782
hsa-miR-224-3p	0.830074999
hsa-miR-548al	0.830074999
hsa-miR-6720-5p	0.821029859
hsa-miR-5009-5p	0.811927652
hsa-miR-3929	0.811927652
hsa-miR-500b-3p	0.802767653
hsa-miR-1287-5p	0.784271309
hsa-miR-876-5p	0.774933444
hsa-miR-216b-3p	0.765534746
hsa-miR-616-5p	0.765534746
hsa-miR-4638-3p	0.765534746
hsa-miR-194-3p	0.765534746
hsa-miR-6882-5p	0.765534746
hsa-miR-627-3p	0.756074417
hsa-miR-3928-3p	0.727315424
hsa-miR-20a-3p	0.727315424
hsa-miR-6786-3p	0.727315424
hsa-miR-130a-3p	0.727315424
hsa-miR-187-3p	0.707819249
hsa-miR-3619-5p	0.66801824
hsa-miR-5706	0.657894023
hsa-miR-3126-5p	0.657894023
hsa-miR-1237-3p	0.647698256
hsa-miR-29a-5p	0.637429921
hsa-miR-147b	0.627087976
hsa-miR-6807-3p	0.61667136
hsa-miR-3944-5p	0.606178987
hsa-miR-106a-5p	0.595609745
hsa-miR-643	0.595609745
hsa-miR-548c-5p	0.574236094
hsa-miR-548o-5p	0.574236094
hsa-miR-1306-5p	0.574236094
hsa-miR-135b-5p	0.563429339
hsa-miR-1229-3p	0.563429339
hsa-miR-877-3p	0.552541023
hsa-miR-195-5p	0.530514717
hsa-miR-3622a-5p	0.519374159
hsa-miR-6777-3p	0.508146904
hsa-miR-3684	0.49683159
hsa-miR-1294	0.49683159
hsa-miR-548d-5p	0.49683159
hsa-miR-4738-3p	0.485426827
hsa-miR-455-3p	0.473931188
hsa-miR-2278	0.473931188
hsa-miR-190b	0.462343214
hsa-let-7g-3p	0.427010141
hsa-miR-545-5p	0.427010141
hsa-miR-556-5p	0.402964667
hsa-miR-5587-3p	0.390789953
hsa-miR-767-3p	0.378511623
hsa-miR-6747-3p	0.378511623
hsa-miR-5690	0.366127899
hsa-miR-1285-5p	0.366127899
hsa-miR-5582-3p	0.366127899
hsa-miR-627-5p	0.341036918
hsa-miR-33a-3p	0.341036918
hsa-miR-548am-5p	0.315501826
hsa-miR-6886-5p	0.289506617
hsa-miR-4781-3p	0.289506617
hsa-miR-204-5p	0.276331228
hsa-miR-2355-5p	0.276331228
hsa-miR-346	0.263034406
hsa-miR-497-5p	0.24961389
hsa-miR-3121-3p	0.24961389
hsa-miR-218-5p	0.236067358
hsa-miR-664b-5p	0.208586622
hsa-miR-1278	0.208586622
hsa-miR-2116-5p	0.194647431
hsa-miR-3128	0.180572246
hsa-miR-615-5p	0.180572246
