EntrezID	hsa-let-7b-5p	hsa-let-7c-5p	hsa-miR-1-3p	hsa-miR-101-3p	hsa-miR-103a-3p	hsa-miR-106b-5p	hsa-miR-141-3p	hsa-miR-155-5p	hsa-miR-15a-5p	hsa-miR-16-5p	hsa-miR-17-5p	hsa-miR-18a-5p	hsa-miR-192-5p	hsa-miR-193b-3p	hsa-miR-200a-3p	hsa-miR-200c-3p	hsa-miR-206	hsa-miR-20a-5p	hsa-miR-215-5p	hsa-miR-26b-5p	hsa-miR-302c-3p	hsa-miR-30a-5p	hsa-miR-98-5p
1668	NA	-0.0906	NA	NA	-0.00365	-0.02355	-0.06605	NA	-0.0355	-2.99E-02	0.0351	NA	0.04115	NA	0.0009	NA	NA	0.10085	-0.003	NA	NA	NA	NA
1669	8.88E-16	0.02085	8.88E-16	0	-0.00255	0.006275	-0.0172	8.88E-16	-0.009	1.27E-02	0.00635	-0.021138385	-0.01535	-0.021608443	-0.0072	NA	0.014869603	-0.0133	-0.0011	0	-0.034181895	8.88E-16	0
1670	8.88E-16	-0.0074	8.88E-16	0	0.03495	-0.014875	0.00475	8.88E-16	0.0224	-2.86E-02	0.00635	0.015046519	0.02505	0.005362257	-0.0344	NA	-0.043823361	0.00835	0.0248	0	0.004203784	8.88E-16	0
1671	8.88E-16	NA	0.005039366	0	NA	4.44089E-16	NA	8.88E-16	NA	8.88E-16	NA	-0.091343335	NA	-0.08101055	NA	NA	-0.061699124	NA	NA	0	-0.067423929	8.88E-16	0
1672	0.003163176	NA	8.88E-16	0.045573997	NA	0.000414061	NA	8.88E-16	NA	8.88E-16	NA	-0.026992752	NA	0.016459525	NA	0.573927773	0.05064378	NA	NA	0	0.044574562	8.88E-16	0.040155246
1673	NA	0.0148	NA	NA	-0.004	-0.0028	-0.0104	NA	-0.02245	2.84E-02	0.026	NA	0.02135	NA	0.0035	NA	NA	0.008	0.02215	NA	NA	NA	NA
1674	-0.160315433	-0.01555	-0.160315433	-1.78E-15	-0.0064	0.00755	0.01415	0.222462543	0.0551	-3.70E-02	0.0271	-0.010329217	0.05885	0.014807687	0.0159	-0.008959178	0.024566598	0.02225	0.0085	NA	-0.033535486	-0.160315433	0.080046779
1675	0.846140874	0.0414	0.233840884	-0.085290405	0.05475	0.073617964	-0.00995	1.198524882	0.1138	8.65E-01	0.0932	-0.034201458	0.09775	0.005410536	-0.03565	2.174641365	0.080581146	0.07905	0.04155	0.068821978	-0.023265802	0.116988786	0.254289944
1676	-0.50708457	-0.0334	0.249073062	0.173552926	-0.01315	-0.086300194	0.02885	-0.199294859	-0.0151	-8.91E-02	0.00555	-0.220276087	0.0391	-0.119969264	0.01945	-1.051626834	0.087207666	0.0237	-0.0187	-0.345372856	-0.18070675	-0.099540837	-0.088118772
1677	0.105223202	NA	0.389270022	0.232106629	NA	1.057725261	NA	0.424150957	NA	6.75E-01	NA	-0.135432056	NA	0.109083483	NA	0.286598497	0.120842772	NA	NA	-2.082572501	0.09694185	0.392795678	-0.14160471
1678	NA	NA	NA	NA	NA	0.059960308	NA	NA	NA	NA	NA	-0.142315552	NA	-0.198188975	NA	-0.492818324	0.173154095	NA	NA	-0.408210448	-0.110812463	NA	-0.347785543
1687	-0.122471431	-0.02495	-0.17196324	0	0.0508	0.015937271	0.00435	0.32415051	0.08155	5.18E-01	-0.0003	0.006667953	-0.03855	0.028639606	0.04445	-4.699770701	0.026171273	0.04525	0.0128	-0.228063014	0.039217041	-0.20391271	-0.188450062
1690	0.878900865	0.03315	-0.050054031	0.051614871	-0.02395	-0.05575	-0.07895	-0.049383071	-0.0929	6.54E-01	-0.05035	-0.249115611	-0.10975	-0.337168434	-0.0299	1.224456526	-0.093087403	-0.0311	-0.15395	NA	-0.263615889	0.45371306	0.083220879
1716	-0.008360166	NA	-0.027366853	-0.172018803	NA	NA	NA	-0.515394719	NA	7.09E-01	NA	0.151777435	NA	0.076134915	NA	-0.020706997	-0.3888634	NA	NA	NA	0.220037865	0.021211896	0.312214619
1717	-0.086494428	-0.0199	-0.044090018	-0.076504618	-0.1542	0.210234726	0.0232	-1.005378949	0.01465	4.96E-01	0.1172	-0.061536605	-0.05685	0.157361005	0.0268	2.199053124	-0.02217183	0.1081	-0.0547	-0.969323205	-0.082418245	0.45537665	-0.140284278
1718	-0.465075148	-0.0472	-0.507371387	-0.031510227	0.0053	0.097452268	-0.00045	-0.452857343	-0.066	2.77E-01	-0.01455	0.29194274	-0.07825	-0.13587613	0.0319	0.517349378	0.15200905	0.06855	-0.15705	-0.003277143	0.390320965	0.397475636	-0.322011683
1719	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.008910236	NA	-0.092284971	NA	-0.21822351	-0.114245558	NA	NA	NA	-0.085202631	NA	-0.231073866
1723	0.091114354	0.0639	0.036132302	0.396601147	-0.04225	-0.011957297	0.01915	0.522522812	0.01355	-1.12E-01	0.05785	-0.200949291	0.01535	-0.164017089	0.0098	0.227559695	-0.106338247	0.00345	0.0112	-1.819568396	-0.140733567	0.01751141	-0.373741948
1725	0.100519517	0.0086	0.015810707	-0.100215178	0.02545	-0.020346674	0.03555	-0.433556598	0.0292	2.71E-01	0.02645	0.185278067	0.05955	-0.025940271	0.01095	0.68931419	-0.00710891	0.04555	0.0451	-0.525103573	0.090203326	-0.136295117	0.43172232
1727	-1.283125617	-0.11435	0.031875859	-0.093023526	0.0057	-0.104215306	0.03775	-1.780318335	0.0409	-7.43E-02	-0.1024	0.026705443	0.05875	0.120778682	0.03405	-0.795124194	0.048234643	-0.0034	0.09445	0.199769485	-0.353458286	0.090977707	-0.338710751
1728	0.085203624	0.07765	0.041127775	-0.15640744	-0.0574	0.069276186	0.19005	-0.221267781	0.23875	3.07E-01	0.23905	0.042304835	0.14985	0.01552963	0.20885	2.087049621	-0.0483317	0.13255	0.22745	0.258093402	-0.056318365	-0.208174515	0.167302581
1729	-0.320690518	NA	-0.49568848	-0.090912609	NA	-0.168648316	NA	-0.253228852	NA	7.28E-02	NA	0.086826895	NA	-0.06508118	NA	-0.100260827	-0.13479869	NA	NA	0.378907458	0.121893985	-0.103708682	0.108393686
1730	0.414576592	0.00475	0.098494154	-0.303219471	-0.0588	-0.050309249	-0.00895	0.870738304	-0.00845	-1.34E-01	0.0979	-0.015602928	-0.01445	0.074915656	-0.0039	-1.289241076	0.045751358	-0.01485	-0.008	0	-0.115492962	0.013972359	-0.075815523
1731	-0.016483337	NA	0	-0.450555139	NA	NA	NA	0	NA	2.31E-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA
1733	8.88E-16	0.01875	8.88E-16	0	-0.0011	-0.025519976	0.0257	8.88E-16	0.04515	2.22E-02	0.02405	0.027539049	0.03615	0.023982291	0.01495	NA	0.082803083	0.0361	0.0065	0	0.080416	8.88E-16	0
1734	0.011364191	0.0703	-0.915427817	-0.026945051	-0.0078	0.0317	-0.00135	0.23491943	-0.0201	-2.89E-01	-0.0011	0.113019013	-0.0345	-0.182931186	-0.00985	NA	-0.030611826	0.0077	-0.00405	NA	-0.023088703	0.430919692	NA
1735	4.44E-16	0.06445	4.44E-16	4.44E-16	-0.0415	0.04765	0.0799	4.44E-16	-0.1481	-1.13E-01	0.058	0.050134572	-0.04945	-0.005282558	0.02325	0.062860821	0.01451167	0.0984	0.02225	NA	-0.040242145	4.44E-16	0.123884319
1736	-0.051486704	-0.0262	0.125885234	0.294840562	-0.0141	0.044863931	-0.0469	-0.530244718	-0.1946	-3.73E-01	-0.0544	-0.43895289	-0.061	-0.18611132	-0.0122	-0.13419304	-0.08307328	-0.05665	-0.06435	-0.408633183	-0.139612035	-0.184490007	-0.172877719
1737	-0.220743386	-0.06525	0.16698488	0.107878748	0.00735	0.054133318	-0.04825	-0.553023786	-0.05915	-2.91E-02	-0.0547	-0.375564411	-0.096	-0.228530367	-0.0441	-0.601642296	-0.10104907	-0.0151	-0.06825	-0.780855113	-0.211886216	0.064348668	-0.445764396
1738	0.481168475	0.03495	0.130386176	-0.086785567	-0.0022	0.117549887	0.0057	-0.115729155	-0.1123	-5.91E-01	-0.01535	-0.05334735	-0.12845	0.023877335	0.0331	1.053424996	0.1289836	-0.01165	-0.104	-0.282160409	-0.3616019	0.192576514	-0.156694641
1739	0.411259685	0.04695	-0.283596338	0.013307138	-0.06765	0.00785	-0.07875	-0.954619125	-0.1753	-2.44E-01	-0.09135	-0.172927402	-0.1008	-0.149002312	-0.04095	-1.22672409	-0.173107308	-0.0386	-0.09485	NA	-0.186677007	0.242532645	-0.191373653
1740	-0.000681879	-0.08575	0.012055377	0	0.01455	-0.02	-0.0486	-0.000681879	-0.0521	2.00E-02	0.0118	0.008061529	-0.05385	-0.000528637	-0.037	-0.113206048	0.030751343	0.00365	-0.0578	0	0.058185828	-0.000681879	0.031437954
1741	-0.421460528	-0.00775	-0.399392011	-0.06639493	-0.1209	-0.111421287	-0.0713	-0.155299029	-0.1609	1.79E-02	-0.1039	-0.026577621	-0.01775	0.078455984	-0.0485	0.555026579	-0.040461743	-0.06315	-0.0651	0.214849519	0.00595606	-0.290358834	-0.041608177
1742	0.083089178	-0.0058	0.083089178	-0.001032903	0.008	0.003575	0.00925	0.083089178	0.01505	5.66E-02	0.0324	0.006320583	0.0687	0.010103177	-0.00215	-1.028743134	-0.196995092	0.0482	0.0481	0	-0.053131047	0.17456976	0.151664781
