miRNA	T47D	COLO205	HCC_2998	HCT_15	KM12	NCI_H322M	OVCAR_3	OVCAR_4	HCT_116	HT29	MCF7	BT_549	HS578T	MDA_MB_231	SF_268	SF_295	SF_539	SNB_19	SNB_75	U251	SW_620	HOP_62	HOP_92	NCI_H23	NCI_H522	CCRF_CEM	HL_60	MOLT_4	SR	LOXIMVI	M14	MDA_MB_435	SK_MEL_28	UACC_62	IGROV1	NCI_ADR_RES	OVCAR_5	OVCAR_8	PC_3	786_0	A498	ACHN	RXF_393	SN12C	TK_10	CAKI_1	K_562	SK_MEL_2
hsa-miR-134-5p|MIMAT0000447	6.238545559	6.282185844	6.433026018	6.469981872	6.41307384	6.376119372	6.004375657	6.442280939	6.432800107	6.424558782	6.42042139	6.533160799	6.669349506	6.514509645	6.634447684	6.572221095	6.423749392	6.372877284	6.678731204	6.625044887	6.967806756	6.403997606	6.431773621	6.455539316	6.434412139	6.817818931	6.299360585	6.460379098	6.432307502	6.448203741	6.385918535	6.441866305	6.495864883	6.485970154	6.398052966	6.442180842	6.440864713	6.469002636	6.438917765	6.408601086	6.147367066	6.497968203	6.314144859	6.419951051	6.501025565	6.460928608	6.414409013	6.428422014
hsa-miR-135a-5p|MIMAT0000428	6.752613441	6.615389524	6.525201425	6.613133898	6.536688171	6.592468723	6.612889635	6.480620749	6.5800871	6.571980408	6.958698166	6.602776635	6.635370858	6.709597325	6.657230416	6.549426608	6.482219823	6.597577816	6.460891135	6.562302444	7.101225341	6.581771265	6.712988274	6.678150141	6.53106663	6.543261708	6.491950773	6.463824311	6.5536701	6.488550356	6.648404851	6.49580318	6.42215699	6.493463333	6.464714616	6.803505498	6.480794837	6.692214741	6.560588286	6.401396687	6.569434444	6.466512601	6.490761999	6.564351811	6.463231861	6.655875649	6.562062544	6.573368168
hsa-miR-135b-5p|MIMAT0000758	6.630370194	9.71664397	8.630998063	7.022093154	7.39056491	9.6849935	8.963754964	8.055209215	8.315214294	8.56071795	7.963329846	9.085979866	6.587126659	6.935887766	6.608104929	7.046043209	6.654690112	7.603730384	6.886739519	8.827873808	9.226676587	6.740672314	7.524779318	6.869953073	6.567188223	6.415823262	6.514848516	6.513136092	7.308363123	6.597493602	7.920875741	6.785025012	6.694344218	6.854517263	8.322022669	6.748220615	8.904415723	6.974644389	7.155527003	7.219313249	6.891701913	7.204948448	6.751178492	7.313402288	6.67681637	6.72457227	6.927432861	7.143325274
hsa-miR-136-5p|MIMAT0000448	6.599912878	6.788449133	6.809299263	6.857692317	6.97754319	6.779696805	6.752339675	6.870308917	6.832668115	6.915624185	7.121678895	6.904066808	7.122754122	7.143410765	7.009061477	7.06589273	6.811688068	6.964684346	6.944128054	6.999666061	6.763722728	6.949209027	7.206151384	7.152739155	6.976404362	6.577064969	6.816740119	6.771417451	7.120176497	6.827170655	7.055326254	6.738558349	6.706797332	6.736805811	6.734703872	6.633644791	6.774882576	6.780352153	6.800087502	6.864238533	6.807349058	6.84117663	6.766593243	6.88113399	6.764744335	6.835219979	6.934632477	6.879803316
hsa-miR-137|MIMAT0000429	6.217741931	6.281907476	6.260401701	6.301387216	6.31821622	6.65723358	6.285484703	6.270760849	6.299191307	6.352434532	6.317891649	6.752581692	6.492278044	6.362131895	6.471249042	6.28775114	6.467574448	6.331741438	6.345874224	6.291891599	6.508435465	6.357386543	6.341464926	6.317611247	7.507404676	6.389418843	6.158938903	6.257268304	6.336452595	6.503439855	6.321017286	6.342971502	6.267845227	6.255349986	6.21899523	6.104519177	6.246558249	6.301537612	6.26097562	6.314906815	6.215947454	6.290048502	6.151609804	6.442318974	6.275988942	6.324751881	6.302780253	6.305868526
hsa-miR-138-5p|MIMAT0000430	6.391719417	6.419823878	6.273525111	6.285500392	6.245700039	8.406499833	7.116853034	6.245519597	6.286358025	6.229238615	6.338752438	6.345465109	8.158639765	9.610052987	7.711079125	6.343603092	7.471989037	8.889262857	8.274124561	8.436459504	6.499032898	7.725951264	6.278573712	6.282472978	6.280463705	6.843766892	6.139072867	6.133434997	6.547226511	7.057387483	8.354637342	6.83368386	7.487651416	7.533214133	7.058435356	7.965735712	8.136595397	8.895341897	6.248922084	10.19123248	6.566613931	7.516523459	8.678292931	7.66350505	7.738057005	10.39857245	6.263903861	8.075760752
hsa-miR-139-5p|MIMAT0000250	6.284708892	6.370780496	6.276512036	6.399476973	6.283345245	6.372939046	6.367974824	6.249921534	6.284217623	6.316394803	6.249121057	6.270538069	6.274635258	6.347730099	6.282710396	6.221084916	6.225636776	6.348072889	6.231596319	6.271610267	6.363679837	6.333383154	6.332928869	6.328823598	6.265429416	6.545709985	6.265115803	6.207449954	6.274083815	6.260265797	6.292352724	6.256929214	6.211540481	6.229067079	6.204957876	6.137955288	6.22490366	6.231423717	6.264879364	6.300013091	6.369210048	6.293148305	6.196079884	6.259897101	6.233406492	6.26737499	6.27657506	6.306054813
hsa-miR-1-3p|MIMAT0000416	7.030062037	7.225695288	7.184411462	7.552046948	7.115741633	7.095913414	7.335822471	7.218726294	6.993364147	7.089082449	7.140637714	7.016996885	7.234466085	7.281741756	7.3696549	7.295059798	7.042562963	7.096015151	7.002607952	7.148152727	7.487980037	7.087461692	7.220949703	7.119434586	7.241822911	7.497675163	7.103562142	7.140472863	7.470167197	6.991938473	7.217323491	7.734269603	7.109734918	7.307446961	7.030069377	7.565029685	7.077812761	7.162676372	7.311883757	7.473333691	7.320494135	7.050514614	7.014104684	7.239556313	7.168074105	7.18195782	7.247262113	7.139061195
hsa-miR-140-5p|MIMAT0000431	6.512064186	6.555774654	6.70696669	7.284495162	6.927951428	6.686430057	6.429853224	6.57263993	6.995406165	6.838098785	6.824287602	7.352162992	7.067524551	6.815687969	6.756337817	6.938691168	7.191427278	6.949502445	7.485331528	6.889955356	7.686624877	6.884740638	6.898641418	6.823876196	6.725652388	6.791154297	6.849211102	6.788761911	6.675050316	6.708332373	7.069402424	6.839367386	6.74575743	7.28548481	6.743314471	6.681787956	6.655695593	6.941924912	6.730833905	6.80356633	6.549598762	7.09952206	6.657332078	7.012333329	6.568910983	6.793457804	6.852838234	7.106239961
hsa-miR-141-3p|MIMAT0000432	7.798018809	9.036390242	8.994701147	8.993888691	9.356606004	9.845871849	8.64369471	8.46366147	9.035506521	8.973443893	9.16442937	6.552694416	6.662390796	6.683923341	6.601069163	6.614894546	6.524441855	6.708185884	6.519031097	6.658167818	7.265799997	6.668535455	6.860138901	6.720287161	6.563543572	6.408839454	6.48984846	6.541802673	6.702852707	6.546751287	6.719240077	6.540734264	6.516822225	6.496988869	7.940256697	6.467663513	8.847556147	6.60275927	6.593217647	6.743277908	6.459705519	6.681855907	6.752279471	6.604482807	6.538826222	6.605730615	6.627934485	6.601424874
