miRNA	BT_549	HS578T	MDA_MB_231	T47D	SF_268	SF_295	SF_539	SNB_19	SNB_75	U251	COLO205	HCC_2998	HCT_15	KM12	SW_620	A549	EKVX	HOP_62	HOP_92	NCI_H226	NCI_H23	NCI_H322M	NCI_H460	NCI_H522	CCRF_CEM	HL_60	MOLT_4	RPMI_8226	SR	LOXIMVI	M14	MALME_3M	MDA_MB_435	SK_MEL_28	SK_MEL_5	UACC_257	UACC_62	IGROV1	NCI_ADR_RES	OVCAR_3	OVCAR_4	OVCAR_5	OVCAR_8	SK_OV_3	DU_145	PC_3	786_0	A498	ACHN	RXF_393	SN12C	TK_10	UO_31	CAKI_1	HCT_116	HT29	K_562	MCF7	SK_MEL_2
hsa-miR-604|MIMAT0003272	6.182706312	6.175149561	6.20491673	6.099359568	6.168391819	6.109666043	6.107902969	6.188202091	6.105970232	6.137525613	6.086668755	6.176388062	6.223080879	6.146374205	6.157574091	6.171734661	6.131591174	6.181337813	6.22618942	6.201362627	6.19464572	6.283468622	6.281381799	6.178334684	6.28103894	6.062264266	6.179564015	NA	6.22390049	6.134934823	6.158337632	6.208272299	6.235578941	6.210589609	6.137315809	6.266583882	6.123634076	6.108138979	6.168580024	6.209099484	6.219851513	6.151381428	6.145565197	6.197845416	6.257509544	6.171279451	6.175552839	6.075362335	6.189788544	NA	6.124083151	6.161841275	6.1341309	6.177549178	6.231220443	6.206293234	6.242161838	6.119253187	6.221369867
hsa-miR-605-5p|MIMAT0003273	6.398464247	6.398092507	6.431790662	6.319938637	6.423872542	6.38305039	6.389725271	6.439409522	6.351872749	6.391861183	6.359500709	6.383504434	6.461901548	6.423810828	6.388740863	6.439363564	6.393016374	6.373103876	6.437202725	6.403884767	6.450685123	6.455512533	6.342892131	6.367658484	6.19644929	6.305610438	6.349139145	6.310172588	6.431668497	6.35846896	6.413816991	6.252989388	6.434680106	6.332340194	6.350567965	6.387647433	6.304494653	6.359697367	6.339010633	6.290862008	6.368974587	6.32302203	6.380237012	6.386091185	6.375396576	6.351586041	6.341203047	6.32581952	6.381770142	6.357218081	6.439720166	6.346149156	6.379889007	6.336301989	6.409299373	6.381080877	6.272235888	6.396532738	6.396147917
hsa-miR-606|MIMAT0003274	6.157322087	6.15071327	6.176977239	6.12256544	6.14054121	6.128265862	6.063483632	6.190848379	6.14976975	6.126309983	6.139862989	6.163225984	6.147812493	6.142024685	6.156858767	6.198777258	6.161133164	6.166919999	6.122985445	6.176059602	6.112005339	6.130716699	6.229102687	6.12078408	6.346533611	5.970998935	6.147137128	6.137760778	6.201773544	6.152402217	6.158228946	6.106760832	6.150279362	6.168454099	6.12258903	6.139756456	6.129427515	6.139467023	6.174302875	6.117931717	6.163244329	6.125224425	6.147961559	6.141444966	6.130844529	6.161389603	6.152440891	6.116425576	6.152362518	6.134310624	6.123332748	6.174606661	6.167779692	6.15109191	6.180066699	6.163756202	6.195775294	6.159286624	6.162519831
hsa-miR-607|MIMAT0003275	6.262030909	6.299960776	6.311853131	6.181262259	6.31259848	6.267120349	6.224979452	6.350932148	6.242013411	6.288657894	6.217623536	6.269175903	6.306570956	6.288923547	6.177548342	6.308667358	6.286413781	6.325192703	6.33837381	6.339030827	6.327756572	6.279219212	6.287658706	6.286345201	6.40455453	6.23054201	6.275642464	6.266095283	6.347831317	6.242972959	6.319382922	6.300972164	6.269316362	6.298967937	6.15129671	6.301629184	6.226355464	6.21207307	6.157816786	6.145515097	6.279936023	6.280068395	6.245553074	6.284457119	6.239111804	6.264554524	6.311290235	6.160855228	6.297800122	6.193408115	6.313229163	6.273753135	6.300336508	6.400854129	6.246508194	6.368862009	6.319535137	6.279767113	6.311100252
hsa-miR-608|MIMAT0003276	6.354676749	6.33659778	6.368908293	6.450595817	6.436979538	6.255627832	6.350973577	6.383696445	6.348684708	6.396253954	6.365781927	6.379486444	6.485454564	6.407516661	6.366211012	6.296720393	6.32945712	6.34499357	6.456022848	6.379147089	6.403000126	6.37551079	6.358396729	6.272001615	6.59881215	6.390670911	6.458928842	6.460435829	6.491328996	6.271188775	6.440830561	6.403039125	6.451327509	6.404228823	6.499936196	6.556562027	6.349681544	6.372690508	6.244048821	6.514020005	6.430593953	6.396616168	6.363019496	6.458210031	6.519522755	6.422662289	6.300063444	6.477220214	6.316428451	6.39138201	6.365306031	6.420372668	6.391216616	6.175281336	6.444161081	6.271253526	6.361365398	6.284924512	6.286357435
hsa-miR-609|MIMAT0003277	6.801063871	7.053077177	6.927555466	6.552437679	6.870447981	6.756943703	6.709804119	6.942949615	6.718511177	6.837625186	6.609987169	6.721284956	6.758824523	6.828437413	6.613117722	7.027581051	6.835711985	6.875696932	7.420521655	6.725028657	7.24117636	6.709005019	6.805633558	6.801846966	6.33858974	6.794413654	6.680121237	6.617955707	6.972224156	6.664421688	7.005038717	6.9373847	6.66654239	6.587129701	6.604920963	6.943534451	6.636087039	6.687542249	6.521009139	6.627713941	6.713419879	6.640659276	6.621045674	6.723173207	6.735868263	6.745493472	6.765487863	6.643248081	6.701964334	6.722328509	6.92395604	6.665805341	6.675351339	6.884301628	6.777353646	6.778981873	6.881394531	6.843489053	6.821908381
hsa-miR-610|MIMAT0003278	6.481748263	6.481553999	6.537301282	6.438478974	6.48190606	6.517345649	6.404915759	6.421443727	6.45639096	6.480328758	6.518765687	6.453646118	6.550087916	6.522883785	6.54103069	6.411549205	6.467084255	6.454281309	6.50515052	6.362210196	6.521018187	6.417671283	6.373616755	6.43116519	6.518915081	6.401779441	6.465886795	6.456738615	6.527346294	6.40756164	6.504845973	6.593641907	6.445927601	6.380419155	6.466637197	6.527137666	6.373397313	6.450151022	6.400081565	6.362260524	6.406096174	6.40911661	6.478456134	6.553604058	6.422281197	6.490124251	6.476167571	6.540976123	6.476536364	6.42676913	6.490497637	6.501533334	6.493375261	6.458383112	6.471702606	6.528076219	6.526697766	6.516015258	6.531551361
hsa-miR-611|MIMAT0003279	6.492024733	6.438512849	6.357519585	6.501320354	6.346980098	6.339493982	6.321814543	6.355396967	6.287905461	6.393870742	6.406971743	6.452074448	6.424435824	6.399897253	6.322527385	6.356752242	6.328189845	6.354093045	6.367430595	6.421335428	6.413764868	6.424691471	6.317346226	6.455751439	6.74818127	6.357665345	6.772176778	6.774170743	6.635854296	6.734092289	6.32622773	6.31387159	6.50964452	6.479011318	6.70156843	6.336353652	6.367794707	6.351421777	6.509524112	6.361037533	6.401535097	6.492840409	6.470171828	6.488853001	6.401921909	6.322181989	6.409754087	6.433155091	6.46474062	6.389280616	6.31664334	6.469907714	6.28536481	6.387650508	6.398068487	6.389502569	6.379240156	6.351194128	6.519531868
hsa-miR-612|MIMAT0003280	8.109828354	8.086778698	8.053969662	8.734215023	8.040655149	7.718766698	7.884265258	7.804022996	7.987624703	7.856829302	7.662448969	7.912945982	7.881186551	7.932213244	7.902895269	8.313166541	8.091210449	8.008756848	8.051310329	7.883126648	8.227810518	7.884616056	7.934102297	7.876732534	8.428785983	7.934858949	8.042497519	8.044050089	8.228332949	8.615696025	7.977054147	8.178014306	8.157200643	8.741777599	8.565928628	8.106786828	7.987266697	7.873730014	7.870279463	7.692939764	7.903658509	7.732624464	7.966080629	7.884495173	7.827158635	7.705774622	7.848725481	8.983752835	8.302615113	7.920807894	8.095871445	8.28939549	7.9987146	8.275292375	8.036471766	7.791879807	7.799409042	7.891260789	8.088785862
hsa-miR-613|MIMAT0003281	6.300724519	6.292018404	6.319639987	6.126977675	6.285986	6.272481261	6.299486049	6.333744521	6.242902572	6.285918761	6.13705309	6.258836526	6.335657685	6.340886687	6.207193837	6.456772615	6.327425055	6.334566876	6.365803513	6.280170112	6.374354239	6.314476999	6.291692577	6.2769149	6.31058863	6.191281048	6.315992841	6.264052348	6.358934894	6.276252942	6.308455135	6.301338965	6.286328143	6.297635973	6.211043225	6.327807336	6.226054463	6.265049014	6.251999658	6.24804755	6.258458931	6.306352122	6.2398795	6.301735086	6.366002187	6.282689045	6.286812655	6.222360926	6.329358095	6.269065061	6.323659043	6.282427871	6.260588645	6.266518769	6.336066509	6.275745488	6.284127597	6.268764667	6.292776084
hsa-miR-614|MIMAT0003282	6.555688959	6.65375382	6.715338564	6.39479876	6.570727578	6.490395018	6.498957573	6.761178017	6.471412467	6.517602926	6.392940017	6.472500522	6.523732711	6.572503357	6.49561977	6.624942861	6.644684867	6.601651754	6.749087015	6.483769486	6.680208223	6.477804958	6.931776249	6.515365088	6.391776944	6.474655469	6.515305947	6.373025016	6.673169875	6.448771957	6.643519421	6.580200506	6.441596071	6.445080253	6.409219818	6.651770137	6.458994444	6.455381143	6.310024699	6.44775333	6.491554028	6.453963274	6.467622358	6.507582625	6.479973521	6.470831282	6.533027813	6.462564433	6.465365308	6.435598435	6.56495253	6.460758337	6.492093087	6.562192533	6.54417474	6.585641924	6.578263971	6.602392617	6.537593778
