Entrez id	hsa-miR-1-3p	hsa-miR-30a-5p	hsa-miR-155-5p	hsa-miR-16-5p	hsa-let-7b-5p
56894	0.02701667	0.011588908	0.232721542	-0.043157504	0.292214693
1187	-0.06065868	-0.10559264	0.139587426	-0.188334143	-0.272446023
7784	-0.05151128	0.169027255	0.328462031	0.66632511	-0.000951778
1499	-0.3014573	0.105920417	-0.094403909	0.125109877	0.279859315
57048	-0.3273435	-0.219861996	0.092997518	-0.053171035	-0.629159175
9391	0.1875796	0.051453423	-0.512978583	0.076765792	-0.222794401
4751	-0.08682726	-0.048961674	-1.233564744	-0.727949826	0.104470117
6793	0.09707191	-0.06101668	0.321528203	0.105913372	-0.123220943
254240	0.1253328	-0.193275959	-0.026416278	-0.073672667	-0.187783455
11078	0.2093073	0.123322899	0.060560401	0.121986304	-0.054805942
8048	-0.257125	-0.318660192	-0.09626418	-0.288115547	-0.438020714
51704	0.1946897	0.173849703	-0.325855509	0.049095108	-0.306141819
493869	0.4120243	-0.295808135	0.51012755	0.107620583	0.084735906
282617	0.2791868	-0.085814868	0.189342667	0.069514268	0.097310156
51026	0.3329788	-0.169274627	-0.379164052	-0.291281074	-0.01745549
6895	0.05426938	0.156006541	0.153978209	-0.868380936	-0.854746208
8590	-0.2915366	0.281055066	0.114679057	0.132516299	0.226426783
5571	0.1545692	0.09141445	-0.187581744	0.118596253	-0.057820414
54097	0.007923863	0.277120556	0.068780499	-0.013743354	-0.019572852
26248	0.03542451	0.144296264	0.335514833	0.2433377	-0.08993914
140680	-0.1748804	-0.028333688	0.422445374	-0.108650344	-0.053159348
148523	-0.4032553	-0.251969325	-0.129884843	-0.244055636	-0.150433693
11149	-0.2174202	0.068055203	-0.282880547	-0.273376501	-0.045055328
284339	-0.1278035	0.300344444	0.188217976	-0.047292547	-0.217203777
1521	-0.1054797	0.120920736	-0.08024507	-0.2982853	-0.396339772
10298	0.1643624	0.116400521	-0.178552112	-0.183145855	-0.357487365
226	1.77E-05	0.036584947	0.012428003	0.128704315	-0.150494268
4641	-0.02853639	0.154261806	-0.108892584	0.216709142	-0.13384929
4595	-0.2981079	0.091247155	0.388483524	0.40732479	0.184313454
51533	0.1150963	0.1708408	0.027328019	0.047768662	-0.119425297
23385	0.4704213	0.083225648	-0.157167235	0.510957607	0.071704102
90864	0.05247418	-0.22656026	0.280636135	0.190225886	0.200780919
4811	-0.2001785	-0.041968667	-0.002633489	0.989771275	0.793288329
286410	-0.5571819	0.202599638	-0.001283838	-0.466330985	0.170235718
64135	-0.05362505	0.137020237	0.014630219	0.029298929	-0.063588007
51024	0.2709625	0.031124531	-0.047999273	0.191023104	-0.275904405
3903	0.2092667	-0.004354503	-0.062444664	0.128994705	-0.059258095
6885	0.1379035	-0.141886204	-1.140632666	-0.849761788	0.139781701
2335	0.03017302	0.305100092	-1.367560966	-0.1251585	-1.101271861
10638	-0.159978	-0.101311588	0.546298137	0.946098413	0.574563088
272	0.06190141	-0.044902451	0.112374488	0.182783938	0.314267998
1135	0.1686272	-0.0287132	0.335839585	0.077691514	-0.117923941
3709	-0.1147449	0.003362877	-0.041740532	-0.177251636	0.297243437
7580	0.265908	-0.15699699	-0.229326675	0.465562892	0.439348928
29015	-0.2727091	0.01630894	-0.663434507	0.111635666	-0.141297546
84433	0.1691611	0.066879552	0.437179109	0.25724959	0.097853103
251	-0.07237061	-0.050785279	0.006052021	0.134466857	-0.241237376
2185	0.2968059	-0.233883235	-0.139299439	-0.142642659	-0.14158133
9381	0.221482	0.026820314	-0.055093874	-0.115475996	-0.083512897
