Gene id	Expr
57172	3.058973828
728642	7.223581081
65220	5.563090291
7021	2.79111889
83741	2.952830888
9940	2.898231616
9265	4.291171994
53616	3.095829329
6856	8.983795208
1534	4.178817344
9043	5.533520058
1951	4.34838377
10157	4.560168335
55200	3.49527874
51188	9.017944872
84954	5.383896297
4257	11.52860314
1407	7.578087691
8993	2.910080026
4784	3.589180243
6482	5.547440991
64386	2.966239924
5310	3.822620154
23542	3.258342911
9862	4.615409507
23221	4.403751541
54497	6.687718921
7095	6.585112907
6224	3.873346681
7812	10.8095774
9690	4.846565064
5980	6.608590658
10178	2.83063542
5081	3.16412814
10747	3.16165015
389434	2.987139816
199870	4.001110222
80342	2.922632109
29954	4.459806774
51534	7.384902479
51085	4.370104847
9031	8.381638703
10048	9.954274014
51513	3.085047105
83932	5.127527559
51603	6.567875743
7756	9.237874862
7384	8.276323227
83930	8.173660645
928	9.594789511
9918	8.883239538
25900	2.733523874
2696	3.484726078
51533	3.322862534
56920	3.184026153
11188	6.434600906
23166	3.269377099
80199	4.511991421
6540	3.086933063
3423	3.870497778
5646	3.166204274
7752	6.534622426
920	2.989260197
10233	5.704035877
695	2.602727446
3077	4.11731616
22955	4.60097324
2534	7.444378608
3097	4.380530752
2326	2.796237884
6924	6.856210313
11313	10.16237934
1185	3.361776802
9902	4.360140224
6534	3.1953843
10867	4.042349661
55727	5.38240168
9546	4.390500842
4290	4.516098961
51099	6.378564458
3730	7.470872054
26993	5.581874865
54799	4.174386662
51096	5.370036076
54476	4.759036545
54902	8.144384145
5725	9.924649505
8193	3.283259185
9066	3.531871254
23395	6.713090026
5286	3.750531221
5329	7.319040597
54443	7.856894595
58525	3.590401888
23637	8.492769609
1634	4.058141618
54814	4.104796579
5536	5.028953189
23177	4.165484527
8491	4.634153328
27033	3.232942327
7305	3.199903135
57146	5.240573813
2556	3.511703136
672	4.439082386
2067	7.993823672
933	3.158993031
7869	7.001273344
51360	6.964230408
4007	3.233411594
4057	3.098178059
2137	5.453806311
9971	2.853292448
60481	8.778444457
240	2.727617407
8284	3.156062047
57658	3.44981269
55148	6.085251411
11183	6.751282562
